"Transmitter","number_of_detections","first_detection","last_detection","animal_short_name","Transmitter_SN","tag_family","when_encountered","capture_method","tag_lat","tag_lon","tag_location","sex","TNL_cm","SciName","est_tag_expiry_date","Owner","standard_length_cm","disk_length"
"A69-9004-14389",7,2021-08-28 15:02:04,2021-11-23 14:26:29,"2021-45",1394087,"V16TP-6x-BLU-2-0204m",2021-08-27,"dart",34.404472,-119.55765,"Carpinteria","F",228,"Carcharodon carcharias","8/25/2031","Chris Lowe",NA,NA
"A69-1303-46865",6,2016-03-03 20:20:31,2018-05-15 22:11:04,"2015-19",1096832,"V16-6x-069k-1",2015-12-16,"gillnet",34.3125,-119.49833,"Unknown","F",160,"Carcharodon carcharias","4/5/2024","Chris Lowe",NA,NA
"A69-1303-58458",6,2014-08-08 21:20:55,2014-08-08 21:32:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1602-3236",6,2018-06-03 21:38:55,2019-10-13 14:00:41,"2018-06",1276583,"V13-1x-069k-3",2018-04-15,"dart",34.411667,-119.559167,"Unknown","U",210,"Carcharodon carcharias","1/28/2020","Chris Lowe",NA,NA
"A69-1602-54051",6,2021-03-29 21:24:55,2021-04-03 12:52:32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-9001-24598",6,2019-06-02 18:19:52,2022-03-10 11:18:09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galeorhinus galeus",NA,NA,NA,NA
"A69-9001-24657",6,2016-05-30 21:50:15,2016-05-30 22:00:53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pseudobatos productus",NA,NA,NA,NA
"A69-9001-4708",6,2022-08-28 21:27:30,2022-08-28 21:56:59,"2022-58",1336192,"V16-6x",2022-08-25,"gillnet",34.152527,-119.230898,"Ventura","M",156.5,"Carcharodon carcharias","8/22/2032","Chris Lowe",NA,NA
"A69-9004-12219",6,2023-10-20 00:26:28,2023-10-20 06:53:55,"2023-34",1513512,"V16P-6x-BLU-2-0204m",2023-09-15,"dart",35.2091,-120.8613,"Diablo Canyon","M",335.3,"Carcharodon carcharias","9/12/2033","Chris Lowe",NA,NA
"A69-1303-6347",5,2016-06-23 22:59:47,2016-06-26 07:41:55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1601-62065",5,2023-02-20 19:56:52,2023-02-23 05:00:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1602-3231",5,2018-05-25 01:29:35,2018-05-25 01:38:36,"2018-07",1276578,"V13-1x-069k-3",2018-04-15,"dart",34.4115,-119.559167,"Unknown","U",175,"Carcharodon carcharias","1/28/2020","Chris Lowe",NA,NA
"A69-9001-12062",5,2018-03-02 19:14:50,2021-07-24 06:29:31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
