Transmitter,animal_short_name,Transmitter_SN,tag_family,capture_method,tag_lat,tag_lon,tag_location,sex,est_tag_expiry_date,Owner,standard_length_cm,disk_length,SciName,TNL_cm,when_encountered,last_detection,first_detection,number_of_detections
A69-9001-4330,2020-17,1342051,V16-4x-069k-2,dart,34.404,-119.5475,Carpinteria,F,5/5/2024,Chris Lowe,NA,NA,Carcharodon carcharias,259,2020-05-06,2020-08-20T18:41:57Z,2020-07-21T07:36:11Z,78
A69-9001-22779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2019-01-01T11:47:19Z,2017-05-31T09:21:53Z,70
A69-9007-611,2021-26,1362766,V13TP-1x-BLU-3-0034m,dart,34.41016,-119.557,Carpinteria,F,2/16/2022,Chris Lowe,NA,NA,Carcharodon carcharias,168,2021-06-02,2021-11-13T12:47:57Z,2021-06-05T14:32:42Z,62
A69-9001-24586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2019-06-08T01:33:38Z,2016-04-29T00:42:43Z,60
A69-1602-12252,DDT-BR-23-03,1307111,V13-1x-BLU-1,NA,NA,NA,Channel Islands,F,NA,Chris Lowe,NA,116,Myliobatis californica,NA,2023-07-28,2023-09-13T22:19:27Z,2023-08-22T17:23:30Z,58
A69-9007-610,2021-26,1362766,V13TP-1x-BLU-3-0034m,dart,34.41016,-119.557,Carpinteria,F,2/16/2022,Chris Lowe,NA,NA,Carcharodon carcharias,168,2021-06-02,2021-11-13T12:47:06Z,2021-06-05T14:31:32Z,58
A69-9001-24667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2015-03-07T04:14:01Z,2014-11-24T00:39:09Z,55
A69-9001-12065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,NA,2017-11-20,2018-09-16T05:47:39Z,2018-04-13T02:27:37Z,53
A69-9007-612,2021-15,1362767,V13TP-1x-BLU-3-0034m,dart,34.41528,-119.5614,Carpinteria,M,1/18/2022,Chris Lowe,NA,NA,Carcharodon carcharias,183,2021-05-04,2022-02-22T12:09:59Z,2021-05-22T08:10:53Z,52
A69-1602-41967,21-bat_ray-02,1362757,V13-1x-BLU-3,NA,34.392918,-119.540398,Santa Barbara,F,8/29/2022,Chris Lowe,86,115,Myliobatis californica,NA,2021-09-21,2021-09-24T03:54:46Z,2021-09-21T22:03:23Z,50
A69-1602-58588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,NA,2019-11-12,2020-07-30T20:39:30Z,2020-07-28T03:31:57Z,50
A69-9001-4343,2021-03,1342064,V16-4x-069k-2,dart,34.401111,-119.546389,Carpinteria,F,3/23/2025,Chris Lowe,NA,NA,Carcharodon carcharias,243,2021-03-24,2021-04-30T12:55:13Z,2021-03-24T18:21:15Z,50
A69-1601-45707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-12-05T20:16:01Z,2017-11-15T14:09:23Z,48
A69-1602-58593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,335,2020-01-18,2021-02-24T08:31:15Z,2020-08-07T17:15:29Z,48
A69-9002-3590,2021-22,1382586,V16TP-6x-BLU-2-0204m,dart,34.39888,-119.545,Carpinteria,F,5/31/2031,Chris Lowe,NA,NA,Carcharodon carcharias,183,2021-06-02,2022-01-22T07:50:04Z,2021-06-06T20:04:29Z,48
A69-1602-58596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,396,2019-11-07,2020-09-10T01:06:53Z,2020-07-03T10:24:09Z,47
A69-1602-8671,2020-43,1295009,V13-1x-069k-3,dart,34.397899,-119.539882,Carpinteria,F,4/29/2022,Chris Lowe,NA,NA,Carcharodon carcharias,259,2020-09-04,2020-10-26T15:20:05Z,2020-09-05T15:19:12Z,47
